clay_company_id,name,size,type,domain,country,industry,location,description,linkedin_url,annual_revenue,total_funding_amount_range_usd
15288658,Taskforce on Nature-related Financial Disclosures (TNFD),11-50,Non Profit,tnfd.global,,Financial Services,Oakland,"The Taskforce on Nature-related Financial Disclosures (TNFD) has developed a set of disclosure recommendations and guidance that encourage and enable business and finance to assess, report and act on their nature-related dependencies, impacts, risks and opportunities.

Sign up to our mailing list - https://ow.ly/69Ub50WOXB4

The recommendations and guidance will enable businesses and finance to integrate nature into decision making. Our aim is to support a shift in global financial flows away from nature-negative outcomes and toward nature-positive outcomes, aligned with the Global Biodiversity Framework.

Launched in 2021, TNFD released the first beta versions its framework for consultation and feedback between March 2022 and March 2024. Over the two-year design and development phase leading to the publication of the TNFD recommendations in September 2023, it received feedback from over 60 countries. Over 200 pilot tests of a prototype framework were conducted by business and financial institutions around the world across sectors, geographies and biomes.

TNFD published its final recommendation in September 2023.",https://www.linkedin.com/company/taskforce-on-nature-related-financial-disclosures-tnfd,25M-75M,
63931742,Davies Talent Solutions,51-200,Privately Held,davies-group.com,United Kingdom,Financial Services,"London, England","Part of Davies, the leading specialist professional services & technology business serving insurance, financial services and highly regulated markets.

Our mission is to revolutionise the way organisations source and develop talent to deliver better outcomes.

We partner with over 1200 organisations to;
â¢	Attract, upskill and retain talent
â¢	Access individuals & teams to deliver business critical projects
â¢	Transform behaviours, culture & performance

We combine deep practitioner experience with specialist sourcing and learning capabilities to deliver a range of highly innovative, digitally enabled solutions.

A core part of the financial services ecosystem we are passionate about professionalising the workforce and equipping it for a digital future.",https://www.linkedin.com/company/davies-talent,25M-75M,
31551649,Synctera,51-200,Privately Held,synctera.com,United States,Financial Services,"San Francisco, California","Syncteraâs platform gives companies of all sizes the technology infrastructure, sponsor bank connection, and compliance framework they need to launch FinTech or embedded banking products. With a single set of powerful APIs, companies are able to quickly launch and scale products such as debit cards, bank accounts, charge cards, lines of credit, and money movement. Whether you are a FinTech company or an established business wanting to embed banking into your existing product set, Synctera can help you bring your vision to life.",https://www.linkedin.com/company/synctera,25M-75M,48600000.0
41505398,Ellevest,11-50,Privately Held,ellevest.com,United States,Financial Services,"New York, New York","Founded in 2014, Ellevest is a financial services company on a mission is to get more money in the hands of women, their families, and the next generation through personalized, intentional wealth management, and financial planning.",https://www.linkedin.com/company/ellevest,1M-5M,53000000.0
17428516,W1TTY,51-200,Privately Held,w1tty.com,United Kingdom,Financial Services,"London, England","Weâre freely supercharging everyone with the tools, products and education to look and act like a financial rockstar - to learn how to manage financial life on their terms.",https://www.linkedin.com/company/w1tty,10M-25M,
2095439,Horizon Payments,51-200,Privately Held,savewithhorizon.com,United States,Financial Services,"Vancouver, Washington","We are an award-winning and fastest-growing merchant service company in the nation. We offer businesses the ability to accept debit and credit cards as forms of payment, from processing the transactions to helping find the right equipment to fit their needs -- all while saving them money.

We are an organization built on a culture of diversity and inclusion. Our team operates with a foundation built on family, community, teamwork, and dedication.",https://www.linkedin.com/company/horizon-payments,25M-75M,
47325937,Beem,51-200,Privately Held,trybeem.com,United States,Financial Services,"San Francisco, California","We're building the Unified Managed Account (UMA) for everyone.Today, UMAs (AKA SMAs) are a $3.7 trillion market â but they require $300K minimums, charge 1-3% annual fees, and only hold stocks and bonds. They exist exclusively for the wealthy, managed by human advisors through firms like Edward Jones ($2.2T AUM), Envestnet ($5.4T platform), and Morgan Stanley. Beem flips this. We deliver a Unified Managed Account to 166 million everyday Americans at $0 minimum â holding not just stocks and bonds, but also crypto, stablecoins, future pay, gig income, benefits, and store credit. All assets unified into one spendable balance, optimized by AI instead of a human advisor, and accepted at 900K+ locations and 40 airlines. What Robinhood did for stock trading, Beem does for your entire financial life.Traction: Profitable, 5M+ US customers, 500x LTV/CAC â all organic growth. $100M in network partnerships. Bank distribution reaching 8M fair credit US consumers/month. UMA stack includes: UMA (the account) â UPay (spend from any asset) â USDU (instant stablecoin settlement) â U-ID (zero-fraud biometric identity) and can be embedded in any LLM.",https://www.linkedin.com/company/trybeemapp,25M-75M,7000000.0
35212694,Kalshi,51-200,Privately Held,kalshi.com,United States,Financial Services,"New York, New York","The first US federally regulated exchange where you can trade on the outcome of any event.

Kalshiâs historical regulatory approval from the CFTC enables it to offer a new asset class called âevent contracts,â which allow traders to take positions on whether a future event will happen or not. Kalshi aims to enable investors to trade on almost anything with economic relevance from Covid numbers to whether a bill will pass in Congress, broadening the historical definition of what a commodity derivative is and paving the way for the futures market to catch up to the novel risks facing the economy today.

Kalshi is backed by Sequoia, Henry Kravis, Charles Schwab, and Y Combinator.",https://www.linkedin.com/company/kalshi,200M-500M,565000000.0
1328557,Krugman,11-50,Privately Held,krugmaninsights.com,United Kingdom,Financial Services,"London, England","Ranked the Most Innovative Dealmaking Platform - Acquisition International.


Reach out: Team@Krugmaninsights.com",https://www.linkedin.com/company/krugman,5M-10M,
16678215,Female Invest,11-50,Privately Held,femaleinvest.com,United Kingdom,Financial Services,"London, England","Female Invest is on a mission to close the financial gender gap. By creating a safe space and a trusted source for knowledge, weâre democratizing investing for everyone globally.

Our edtech platform has paying members in 100+ countries and our book 'Girls Just Wanna Have Funds' is a global bestseller.",https://www.linkedin.com/company/female-invest,5M-10M,15600000.0
36960297,Yuno,51-200,Privately Held,y.uno,United States,Financial Services,"New York, New York","Yuno is a leading global payment orchestration platform. We empower businesses to simplify their payment operations, maximize revenue, and accelerate global expansion.

Yuno connects your business to over 1,000 global payment methods through a single API integration. Our Smart Routing tools use advanced algorithms to optimize the flow of transactions through various payment providers, maximizing acceptance rates while also reducing processing costs. Our wide selection of fraud prevention providers and advanced tokenization capabilities help reduce the risk of fraud and minimize transaction declines.

Yuno is the payment orchestration solution of choice for high-performing payments teams. We support some of the worldâs leading brands, including McDonaldâs, Rappi, Viva Aerobus, InDrive and other businesses across more than 80 countries.

Yuno was founded in 2022 and is led by former payments and technology executives from Rappi, Uber, Ali Pay and other leading companies. Yuno is backed by a consortium of high-profile investors, including DST Global Partners, Andreessen Horowitz, Tiger Global, Kaszek Ventures, and Monashees.",https://www.linkedin.com/company/yunopay,1B-10B,35000000.0
35893575,Gridlines,51-200,Privately Held,gridlines.com,United Kingdom,Financial Services,"Manchester, England","Infrastructure deals are getting faster. The model used by most project finance advisory firms isnât.

Most firms sell you a brand name, then hand the work to a junior team in a regional silo. At Gridlines, the team we pitch to you is the team you get. That means a global-first, senior-led execution engine designed for the speed of 2026 project finance - from day one to financial close.

We are a global-first project finance advisory and modelling firm. We donât staff based on who is in the local office; we deploy the best talent from our global pool to match the specific demands of your deal.

With over $130B in transactions supported, we provide institutional-grade rigour without the friction of the ""Big Firm"" hierarchy.

We bridge the gap between complex strategy and spreadsheet execution. Whether you are navigating a renewable energy transition or a large-scale infra bid, our senior-led teams stay ""inside the model"" to ensure your commercial strategy actually holds up under lender scrutiny.

WHAT WE DO:
- Transaction Advisory: Strategic structuring, debt advisory, and bid support for M&A and PPPs. We move you from ""thinking"" to ""closing.""
- Valuations: Real-time asset valuation for BESS, Hydrogen, and Energy Transition portfolios.
- Model build: Audit-grade financial models built to the FAST standard
- Model Audit: Ranked #3 globally (Inframation - 2025 by deal count), weâre trusted by the worldâs leading lenders.

SECTOR EXPERTISE:
Renewables & Energy Transition (Solar, Wind, BESS, Hydrogen)
Infrastructure (Aviation, Transport, Social Infra, PPPs)
Utilities (Water, Desalination, Waste-to-Energy)

WHO TRUSTS US:
Trusted by the architects of global infrastructure: DIF | Masdar | Equitix | The World Bank | EDF | Ofgem | TotalEnergies | Engie | CIP

NEXT STEP:
If you're tired of advisory ""layers"" and want direct access to the experts structuring your next $500M+ close, get in touch today for a free consultation.
www.gridlines.com/contact-us",https://www.linkedin.com/company/gridlines-com,10M-25M,
33362214,Esusu,51-200,Privately Held,esusurent.com,United States,Financial Services,"New York, New York","Your financial future shouldn't depend on your race, background, or zip code. Yet 45 million Americans remain ""credit invisible,"" while countless others face denials, evictions, and predatory interest rates regularly. Esusu is changing that.

As a financial technology and data platform, we're revolutionizing financial health, identity services, and inclusive decision-making for individuals and businesses alike.

Our impact speaks volumes:
$50 billion in credit activity facilitated
5 million+ rental units in our network
Trusted partnerships with leading real estate companies, government entities, fintechs, banks, and employers

Through our enterprise services, embedded products, and consumer offerings, we're creating a financial system that works for everyoneâright when fintech innovation matters most. Join us in building a future where financial systems are inclusive by design, access is standard, and opportunity reaches everyone.

Unlock Tomorrow with Esusu.",https://www.linkedin.com/company/esusu,25M-75M,130000000.0
4790097,Dodo Payments,51-200,Privately Held,dodopayments.com,United States,Financial Services,"Dover, Delaware","Dodo Payments is a global Payments & Billing platform helping SaaS and AI-native businesses scale across 150+ countries. We handle payments, subscriptions, compliance, and tax, so that founders can focus on building, not operations.",https://www.linkedin.com/company/dodopayments,25M-75M,1100000.0
19517485,Institutional Investor,51-200,Privately Held,institutionalinvestor.com,United States,Financial Services,"New York, New York","55+ Years in Business â¢ 600+ Asset Managers â¢ 90+ Global Events Annually

Institutional Investor drives growth by creating communities across the investment ecosystem and fostering conversations where members share their collective intelligence, innovative observations, and experience as industry leaders and experts in an off-record setting.

Institutional Investor is based in New York, London, and Hong Kong.",https://www.linkedin.com/company/institutional-investor,75M-200M,
18758885,Masterworks,51-200,Privately Held,masterworks.com,United States,Financial Services,"New York, New York","Masterworks is democratizing the art market to allow anyone to invest in $1-30 million blue-chip artworks, by artists like Banksy, Basquiat, and Picasso.

Blue-chip art has outpaced the S&P 500 by 43% from 1995 to 2024.

Since its inception, Masterworks has been featured in Fox Business, Barronâs, Techcrunch, Financial Times, CNBC, and more.

See Important Disclosures at masterworks.com/cd.",https://www.linkedin.com/company/masterworks,75M-200M,
6087622,alphastream.ai,51-200,Privately Held,alphastream.ai,United States,Financial Services,"New York, New York","Alphastream is a leading AI platform delivering legal and financial intelligence purpose built for private markets by transforming unstructured documents into trusted, actionable data. Today, we are partnered with GPs managing over $2 trillion in assets, driving continuous innovation across timeliness, efficiency, scalability, and auditability.
Private credit investors use Alphastream to accelerate due diligence, monitor portfolio performance, and unlock data-driven insights that were previously buried in complex legal and financial documents.  Decision makers are empowered with workflow tools built on the foundation of verifiable data.
Alphastream integrates seamlessly into your existing digital ecosystemâwith full SSO support, APIs to mesh with existing infrastructure, and CRM platform DealCloud. Our SaaS platform is ISO 27001 certified and SOC 2 compliant.",https://www.linkedin.com/company/alphastream,75M-200M,
14707211,Scienaptic AI,51-200,Privately Held,scienaptic.ai,United States,Financial Services,"New York, New York","Founded in 2014, Scienaptic AI was built with the mission to drive financial inclusion at scale through AI-driven credit decisioning. The platform encapsulates a decade of technological innovation, integrating more data into decision-making, leveraging advanced machine learning algorithms, and supplementing them with rigorous risk and fair lending monitoring processes. This enables financial institutions to reach more borrowers- including underbanked and underserved individuals and say âYesâ more often without increasing risk.

In September 2024, Scienapticâs Credit Union Service Organization (CUSO) received strategic equity investments from its clients, further strengthening its mission to elevate lending with AI-driven solutions for inclusive loan growth, automation, lifecycle management, and compliance. Today, the CUSO is backed by 15 strategic investors, underscoring Scienapticâs deep commitment to the core principle of ""people helping people.""

The Scienaptic AI platform plays a vital role in supporting over 150 lenders by enhancing lending accuracy and efficiency. Scienapticâs credit decisioning expertise spans financial institutions collectively managing $3.9 trillion in assets. The platform processes over 3 million credit decisions each month, evaluating loan applications worth more than $3 billion. This enables over 1.7 million underserved individuals every month to access credit opportunities that were previously out of reach. Driven by the growing demand for AI in lending, the company has expanded by over 2,000% in the past three years.

Scienaptic has been recognized as one of the most innovative and fastest-growing companies in financial technology. The company was named to the Deloitte Technology Fast 500 list for 2025. It was included in the CB Insights Fintech 100 list of the most promising fintech companies shaping the future of financial services.

For more information, visit www.scienaptic.ai",https://www.linkedin.com/company/scienaptic-ai,25M-75M,1900000.0
32185144,XTX Markets,51-200,Privately Held,xtxmarkets.com,United Kingdom,Financial Services,"London, England","We are a leading quantitative-driven electronic market-maker partnering with counterparties, exchanges and e-trading venues globally to provide liquidity in the Equity, FX, Fixed Income and Commodity markets. We provide consistent liquidity, helping market participants throughout the world obtain the best prices in the various assets classes we cover, regardless of changing market conditions.

XTX Markets is a diverse organisation which attracts outstanding talent from across all industry backgrounds. We are focused on teamwork and our people collaborate on all aspects of the business, working openly and with respect for each other, our clients and the market. We strive for excellence in everything we do.

At XTX Markets technology is our business. Our competitiveness is determined by the collective intellectual power of our people who collaborate on solving the most interesting problems in financial technology. Our culture is non-hierarchical and one where everyone is valued.
Whether you are a computer programming or mathematics graduate, a website designer or an IT engineer â we have recruited and continue to recruit experts with a wide and eclectic array of skills. We are market leaders in what we do.",https://www.linkedin.com/company/xtx-markets,75M-200M,
6163439,Sosuv,51-200,Privately Held,sosuvtech.com,United Kingdom,Financial Services,"London, England","Sosuv is a capital markets technology company building next generation software for trading infrastructure, FIX connectivity, and AI powered automation.
Our flagship platform, SoFIX, is redefining how financial institutions handle FIX certification, onboarding and trade support. It replaces slow, manual, and fragmented workflows with intelligent automation that accelerates client onboarding and reduces operational overhead across the trade lifecycle.
We work with exchanges, brokers, trading platforms, and fintech firms to modernize their trading technology stack.
By combining deep domain expertise in electronic trading with modern engineering and AI, SOSUV is building the infrastructure layer for faster, smarter, and more scalable capital markets systems.


Our offerings can be broadly classified as below:

FIX Protocol
FIX Certification & Onboarding Automation(SoFIX)
FIX Engine(Vayu)
LiteOMS(Atlas)
Trading Support Automation
Trading Technology
OMS & EMS Integration
Exchange Connectivity
Financial Technology (FinTech)
AI Automation
Trading Infrastructure
Algorithmic Trading(ATDL)
Capital Markets Software Development
CAT Reporting",https://www.linkedin.com/company/sosuv-consulting-private-limited,10M-25M,
37398419,Fisher Investments UK,51-200,Privately Held,fisherinvestments.com,United Kingdom,Financial Services,"London, England","Fisher Investments UK is a private investment advice and management company, offering the discretionary investment management services of our US-based parent company, Fisher Investments.

Fisher Investments is an independent, fee-only investment adviser serving clients across three principal business units: US Private Client, Institutional and Private Client International. Together, these groups serve a diverse global client base that includes corporations, public and multi-employer pension funds, foundations and endowments, governments and high net worth families.

Fisher Investments was founded in 1979 by Ken Fisher, who served as CEO for 37 years and now serves as Executive Chairman and Co-Chief Investment Officer. Ken wrote the Forbes âPortfolio Strategyâ column from 1984 through 2016, making him the longest continuously running columnist in the magazineâs history. He now writes monthly, native language columns in major media organs around the world, spanning more countries and more languages in more total reach than any other, non-syndicated columnist of any type ever. Ken has written 11 booksâincluding 4 New York Times bestsellersâand has regularly appeared on CNBC, Fox Business, Fox News, CNN International, Yahoo Finance, Bloomberg TV, and numerous other financial news outlets.

For more information on Fisher Investments UK, please visit http://www.fisherinvestments.com/en-gb.

Careers Page: https://www.fishercareers.com/

Important Disclosures: https://www.fisherinvestments.com/en-gb/regulatory-information

Privacy Policy: https://www.fisherinvestments.com/en-gb/privacy

Community Guidelines: https://www.fisherinvestments.com/en-gb/communityguidelines",https://www.linkedin.com/company/fisher-investments-uk,75M-200M,
629106,UK Finance,51-200,Non Profit,ukfinance.org.uk,United Kingdom,Financial Services,"London, England","Our sector is fundamental to peopleâs lives, and we are proud to promote the work it is doing to support customers and businesses up and down the country. Our vision is to be the best financial services trade association in Europe, delivering value for our members.

Our unique position allows us to deliver a highly respected programme that delivers immediate impact for modern financial services professionals and those working in adjacent sectors â including expert-training, events, policy and guidance and data analysis.",https://www.linkedin.com/company/ukfinance,75M-200M,
1398349,FINCA International,11-50,Non Profit,finca.org,United States,Financial Services,"Washington, District of Columbia","FINCA is committed to ending global poverty through sustainable and scalable solutions, responsible financial services, and life-enhancing products that are driven by the insights and needs of the people we serve in communities around the world.

We believe all people should have the opportunity to leverage their wisdom, talent and effort to determine their own destiny.",https://www.linkedin.com/company/finca-international,1B-10B,
50723485,Uncapped,51-200,Privately Held,weareuncapped.com,United Kingdom,Financial Services,"London, England","Founded in 2019, Uncapped provides e-commerce brands, retailers, and sellers with working capital from $10k to $3m without giving up equity or control of their business.

We fund inventory, marketing, and everything else growth requires, with financing that fits how digital businesses actually work: fast, flexible, and built around your revenue, not your credit history.

Want to find out how we can help scale your business? Get in touch today.",https://www.linkedin.com/company/weareuncapped,10M-25M,242700000.0
